timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732810069532,964,SignIn,500,Internal Server Error,Thread Group 1-310,text,false,,161,255,854,854,http://0.0.0.0:5002/v1/sign-in,964,0,1
1732810069642,854,SignIn,500,Internal Server Error,Thread Group 1-411,text,false,,161,255,854,854,http://0.0.0.0:5002/v1/sign-in,854,0,1
1732810069531,966,SignIn,500,Internal Server Error,Thread Group 1-313,text,false,,161,255,854,854,http://0.0.0.0:5002/v1/sign-in,966,0,1
1732810069641,856,SignIn,500,Internal Server Error,Thread Group 1-402,text,false,,161,255,854,854,http://0.0.0.0:5002/v1/sign-in,856,0,1
1732810069548,949,SignIn,500,Internal Server Error,Thread Group 1-327,text,false,,161,255,853,853,http://0.0.0.0:5002/v1/sign-in,949,0,1
1732810069642,855,SignIn,500,Internal Server Error,Thread Group 1-407,text,false,,161,255,852,852,http://0.0.0.0:5002/v1/sign-in,855,0,1
1732810069521,976,SignIn,500,Internal Server Error,Thread Group 1-303,text,false,,161,255,852,852,http://0.0.0.0:5002/v1/sign-in,976,0,4
1732810069532,965,SignIn,500,Internal Server Error,Thread Group 1-314,text,false,,161,255,852,852,http://0.0.0.0:5002/v1/sign-in,965,0,1
1732810069545,952,SignIn,500,Internal Server Error,Thread Group 1-318,text,false,,161,255,852,852,http://0.0.0.0:5002/v1/sign-in,952,0,2
1732810069403,1094,SignIn,500,Internal Server Error,Thread Group 1-180,text,false,,161,255,852,852,http://0.0.0.0:5002/v1/sign-in,1094,0,2
1732810069388,1110,SignIn,500,Internal Server Error,Thread Group 1-172,text,false,,161,255,850,850,http://0.0.0.0:5002/v1/sign-in,1110,0,0
1732810069304,1195,SignIn,500,Internal Server Error,Thread Group 1-38,text,false,,161,255,850,850,http://0.0.0.0:5002/v1/sign-in,1195,0,84
1732810069388,1110,SignIn,500,Internal Server Error,Thread Group 1-168,text,false,,161,255,850,850,http://0.0.0.0:5002/v1/sign-in,1110,0,0
1732810069317,1181,SignIn,200,OK,Thread Group 1-98,text,true,,164,255,850,850,http://0.0.0.0:5002/v1/sign-in,1181,0,11
